"locations","counts","expectedCounts","covariates"
0,90,107.8117626,12.98838
1,20,50.65173855,12.46795
2,58,106.4644656,12.46795
3,43,94.26178339,13.02562
4,52,141.87639,12.85675
5,24,65.35675678,12.44253
6,33,69.51146155,11.81678
7,32,79.72860856,11.80099
8,92,151.7749672,11.85418143
9,55,95.18273766,12.3419
10,71,136.5213252,12.45099125
11,42,101.2479922,11.8790775
12,31,101.354265,12.0699
13,26,76.8840148,11.86726
14,30,72.29144557,11.63906182
15,28,70.08743107,12.57471
16,47,109.0112141,11.696105
17,103,82.84338831,12.09315
18,22,62.97813489,11.66233733
19,73,115.767975,11.21903846
20,59,83.23950629,11.785655
21,79,98.85606892,11.79269
22,43,89.83286102,10.69132
23,52,59.94739591,10.94180286
24,56,76.01619673,11.01093667
25,25,64.15755355,10.47059828
26,52,95.06259308,10.37042629
27,59,108.4147804,9.937880883
28,61,113.3642467,10.50100438
29,61,162.4027084,11.071015
30,25,71.29408039,11.41918667
31,85,121.6871983,12.133045
32,97,124.8580729,10.33547727
33,26,91.80457796,11.69019
34,64,133.628773,12.39713
35,81,144.0034214,11.518648
36,32,67.0684465,12.192945
37,28,78.88626114,12.60092
38,88,132.9443919,11.10435
39,49,81.6852524,11.82222
40,46,92.4483948,12.98021
41,64,89.97452287,12.935715
42,61,124.024789,12.58579
43,63,131.5387203,13.03503
44,75,101.8820678,12.86559
45,110,133.2946767,11.927575
46,50,78.1784338,11.48299
47,84,80.26871335,11.84681833
48,163,116.9850308,12.15281
49,74,87.88914811,11.71255
50,81,89.00355024,13.15964
51,140,76.02909322,12.66981
52,129,104.8321771,12.80631
53,57,65.87118839,12.918925
54,47,61.7889814,12.27762
55,122,91.80183109,12.23237
56,86,112.8995098,13.60057
57,74,70.95011394,12.86436
58,52,76.63532366,13.07825
59,92,116.2229898,13.26433
60,154,113.6238476,12.70548333
61,42,77.64949084,13.02471
62,66,90.6388707,13.60057
63,54,83.78928391,13.95496
64,105,82.69451379,12.49631
65,117,116.692566,12.4860675
66,48,78.64422206,13.83689
67,43,70.10672474,13.49018
68,32,57.56155796,13.49018
69,77,72.22578016,13.88531
70,73,97.17811732,13.83689
71,116,124.9210041,11.80041
72,46,66.4343545,13.94831
73,167,132.3411561,14.59839
74,79,89.98630422,13.67502
75,105,128.36224,12.645635
76,85,69.13801188,13.8222
77,75,99.73880979,13.94831
78,106,88.28457863,14.59839
79,104,113.0107497,14.16993
80,130,88.44170464,12.908235
81,113,106.1102861,13.897804
82,87,79.89792128,14.27516
83,111,117.9543344,13.40989333
84,127,130.5533988,13.71735
85,80,81.75534244,13.94066
86,73,90.23940734,13.15067
87,69,91.59041717,13.85423
88,73,77.57173497,13.58898
89,74,89.29977221,13.45139
90,116,128.2192576,13.19327
91,171,131.3451686,15.58088
92,62,59.46710729,14.4245
93,75,70.34136662,13.52511
94,84,83.58633836,16.109665
95,121,101.3278079,13.71753
96,189,108.824606,14.37437
97,82,70.54082374,16.30375
98,138,124.7765,15.32601
99,51,97.15329954,13.66243
100,97,89.18402167,15.5226
101,105,87.70247896,15.815035
102,72,71.55485133,14.03662
103,153,126.2672405,13.71753
104,148,127.5939957,13.15009
105,66,72.05270639,17.03028
106,98,77.74342437,13.73114
107,50,62.64322549,16.59513
108,69,85.33448697,14.69729
109,114,91.03806296,13.192455
110,75,70.91115229,14.9785
111,134,99.15018961,14.59697
112,50,50.08417815,14.45701
113,47,74.08858743,17.61528
114,43,69.29036766,18.7671
115,73,64.75469467,14.82209
116,87,61.66444317,14.05625
117,167,138.8594123,14.11792
118,52,72.28629979,18.33481
119,151,115.5009176,14.55654
120,98,97.35608617,14.052305
121,132,180.3045251,15.67662
122,164,131.3803992,17.18156
123,187,129.4643141,15.674356
124,61,101.8433793,15.72886
125,74,55.86808323,14.23656
126,149,115.9631081,14.57192
127,80,104.4167289,14.95742
128,75,92.45952889,15.3253
129,145,131.7755676,15.1666
130,172,127.9789365,14.72058333
131,54,59.3334016,15.287455
132,78,77.50530973,17.70958
133,42,57.54776272,16.33297
134,66,74.90695528,15.18385
135,38,85.1038634,14.58954
136,86,61.67896815,15.27725
137,76,77.02578637,12.63081
138,79,103.5773479,14.07658
139,101,83.17594211,16.31701
140,29,78.30856898,13.86034
141,84,76.36703437,15.68521
142,56,85.43309375,14.36014
143,78,85.2892988,14.44195
144,35,79.4248828,14.26064
145,43,61.8679555,14.36014
146,34,62.54765473,14.35502
147,90,70.6072854,18.42622
148,108,87.42746042,14.07658
149,71,97.47409716,15.01193
150,68,75.37237913,14.69086
151,99,122.045256,13.38674
152,91,137.5563213,13.71023
153,62,127.8651128,13.38072
154,165,112.1618749,12.99287
155,184,133.2098496,13.69496
156,107,93.39908991,13.38072
157,94,95.61618795,13.69703
158,41,118.1394384,13.3684225
159,69,73.70804351,13.31278
160,84,86.75522956,12.99632
161,85,86.02012773,13.3582
162,96,91.67740762,13.51651
163,49,49.18978253,12.95135
164,103,87.63373973,12.83422
165,50,87.73708947,13.102255
166,72,62.22540698,12.90968
167,91,71.4270839,12.34169
168,138,142.1227397,13.461505
169,99,90.98675039,13.45202
170,108,85.57560913,12.90968
171,83,77.50522303,12.8656
172,105,127.8448369,12.44253
173,80,90.93381423,12.41217
174,72,66.98665635,13.68893
175,84,76.1349908,12.86195
176,83,75.73047972,12.11520333
177,94,67.7641495,12.29466
178,91,60.70767168,12.16286
179,96,58.68919213,12.29466
180,28,63.36007181,10.41842
181,52,88.38686933,9.646869459
182,59,111.7572356,9.587817882
183,117,107.8753269,10.77463
184,124,109.3230306,10.98851
185,113,122.0609176,10.88168
186,68,106.5876139,9.820015077
187,141,113.8343258,11.144795
188,63,101.4935574,10.900465
189,91,93.94687328,11.96558
190,147,143.6837861,12.36856
191,81,99.61489357,10.665605
192,95,102.9967853,10.33805
193,105,139.2012788,12.51736
194,74,102.8211573,10.26873
195,92,108.7751659,10.08163
196,88,161.1906955,10.61232
197,63,127.8662477,12.534227
198,63,92.63665973,12.204065
199,74,74.00904472,12.76649
200,49,71.50265501,13.594625
201,49,64.71697749,9.960004
202,64,83.51581433,9.935343538
203,90,101.9498086,11.76568
204,63,71.17861914,11.76568
205,136,116.1609949,11.3093
206,109,111.7141176,11.64615
207,52,78.27282048,11.7969225
208,51,114.2000713,11.64786
209,120,147.3891435,12.154345
210,78,102.3855542,11.71739
211,50,80.75275741,12.402515
212,89,75.78705237,11.69549
213,106,123.1871759,11.54629
214,48,79.8287985,10.75493
215,90,81.23510452,13.351535
216,93,77.65083349,12.37292
217,87,125.2416018,12.38413333
218,131,143.4390516,13.47421
219,95,72.11001515,12.4977
220,76,128.435228,12.70659
221,129,67.50002091,12.588025
222,139,131.0330007,13.00805
223,89,97.91746321,11.93755
224,97,94.72220707,11.93755
225,151,126.4580499,15.46219333
226,46,109.7984259,10.21531
227,35,68.02588578,10.93153
228,88,84.61773704,13.78007
229,100,131.2840756,14.25012
230,35,66.44561375,10.619565
231,85,128.1786747,16.14488
232,146,129.3276848,14.41114333
233,52,116.2552353,10.746282
234,67,80.55726464,13.333965
235,74,119.4925078,12.156985
236,109,121.0627469,11.58486
237,93,126.777422,12.0198
238,39,109.1500984,11.76066
239,88,80.79568427,12.57811
240,47,75.92780959,12.42111
241,102,103.9894436,12.18415
242,85,116.5644685,12.54661
243,68,70.93765364,13.08756
244,55,93.93919154,13.11291
245,59,85.80115347,13.10769
246,60,115.8647143,12.5139225
247,86,88.61799292,12.32004
248,43,77.89875634,13.08756
249,91,139.695464,13.10769
250,78,83.84441563,13.52414
251,83,90.10797004,14.05767667
252,88,85.94414319,13.61270667
253,100,94.31914963,13.21405
254,114,113.9801177,12.590045
255,137,128.1893303,13.03916
256,110,117.7305228,12.9302
257,128,132.0148672,12.140265
258,60,86.56430261,12.8702
259,77,115.0523571,12.093715
260,116,106.2618782,11.543225
261,89,148.5341536,11.938808
262,69,106.8659669,10.25018541
263,66,97.30977805,10.64307247
264,143,131.0555137,10.92992667
265,83,103.9446259,11.9887
266,85,105.1431201,11.4875325
267,105,113.9384178,10.7557283
268,115,94.6287073,10.00954059
269,116,126.1144889,10.114156
270,101,122.7093213,9.600679
